id;citation;reponse;coeur
1;-"La source du savoir est dans le passé";Clover;1
2;-"Et nous sommes déjà allés trop loin, nous ne pouvons plus faire marche arrière";Clover;0
3;-"J'ai l'impression de déjà voir le destin de robin";Clover;0
4;-"Le rire est une thérapie pour devenir heureux";Sauro;0
5;-"On trouve de drôles d'animaux dans cette foret! Cet animal a failli avoir ma peau";Spandine;0
6;-"Peu importe ce qu'est notre passe, il est une partie de nous, et nous devons porter ce fardeau";Clover;0
7;-"J'ai voulu faire ça depuis toujours";Robin;0
8;-"Nous ne pouvons pas abandonner pour le futur où tu vivras";Olvia;1
9;-"Est-ce ta faiblesse qui te fait agir comme ça?";Sauro;0
10;-"Je ne sais pas qui as tort ou raison. Mais vous pouvez croire que je protègerai une amie";Sauro;0
11;-"Des idéaux tels que la justice ne sont qu'une question de point de vue";Aokiji;0
12;-"C'est ça que dois faire la justice? Tu peux encore te regarder dans un miroir?";Sauro;0
13;-"Dans ce monde, la solitude n'existe pas";Sauro;1
14;-"Je suis désolé. Je n'ai pas pu te laisser des mots dignes d'une mère";Olvia;0
15;-"La justice peut rendre les gens fous";Aokiji;1
16;-"Ah, et puis, avant de manger, nous avons des invités";Une vielle dame qui a "vendu" Robin;0
